pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,hd_name,ra,dec,sy_vmag,sy_jmag,sy_kmag,sy_tmag,sy_kepmag,sy_gaiamag,st_teff,st_logg,st_met,st_mass,st_rad,st_spectype,st_lum,st_age,st_ageerr1,st_ageerr2,st_rotp,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
HIP 65 A b,HIP 65 A,Gaia DR3 4923860051276772608,Gaia DR2 4923860051276772608,TIC 201248411,,0.1856063,-54.8308228,11.0,8.922,8.29,9.9005,,10.5895,4590.0,4.611,0.18,0.781,0.7242,K4 V,-0.67799,4.1,4.3,-2.8,13.2,0.9809734,22.75427,0.78576,Transiting Exoplanet Survey Satellite (TESS),2020,TESS
WASP-136 b,WASP-136,Gaia DR3 2441013811932929280,Gaia DR2 2441013811932929280,TIC 176220787,,0.325761,-8.9262512,9.974,9.016,8.805,9.4834,,9.81929,6250.0,3.9,-0.18,1.41,2.39014,F,0.82265,3.62,0.7,-0.7,5.4,5.21536178778,16.81347105,5.5895721,SuperWASP,2016,WASP
KELT-1 b,KELT-1,Gaia DR3 2881784280929695360,Gaia DR2 2881784280929695360,TIC 432549364,,0.3620995,39.3837953,10.632,9.682,9.437,10.2242,,10.5905,6516.0,4.228,0.052,1.335,1.471,,0.545,,,,,1.217514,12.442,2.76456,KELT,2012,KELT
HATS-34 b,HATS-34,Gaia DR3 4904523077718046720,Gaia DR2 4904523077718046720,TIC 355703913,,0.7744866,-62.4693167,13.857,12.513,12.095,13.183,,13.679,5380.0,4.435,0.25,0.955,0.98,,-0.14026,7.7,2.7,-2.7,,2.1061607,16.02887,1.5552,HATSouth,2016,HAT
WASP-96 b,WASP-96,Gaia DR3 4990044668377961984,Gaia DR2 4990044668377961984,TIC 160148385,,1.0465696,-47.3606352,12.569,11.267,10.914,11.9116,,12.3833,5540.0,4.42,0.14,1.06,1.05,G8,0.03226,8.0,26.0,-8.0,20.16,3.4252602,13.45,2.4264,SuperWASP,2014,WASP
TOI-198 b,TOI-198,Gaia DR3 2333676738050041728,Gaia DR2 2333676738049780352,TIC 12421862,,2.2715087,-27.1217452,11.688,8.655,7.856,9.92801,,10.9187,3650.0,4.75,-0.7,0.467,0.441,M0 V,-1.43315,5.3,1.0,-1.0,45.4,10.2152,1.44,1.631,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
WASP-44 b,WASP-44,Gaia DR3 2424406513428936832,Gaia DR2 2424406513428936832,TIC 12862099,,3.9032733,-11.9382645,13.096,11.702,11.341,12.3993,,12.8964,5420.0,4.494,-0.003,0.935,0.906,G8 V,-0.19777,10.3,2.7,-5.0,,2.423804,12.3299,2.2368,SuperWASP,2011,WASP
Gliese 12 b,Gliese 12,Gaia DR3 2768048564768256512,Gaia DR2 2768048564768256512,TIC 52005579,,3.9579137,13.5576175,12.6,8.619,7.807,10.1769,,11.3963,3296.0,5.21,-0.32,0.2414,0.2617,M3.0 V,-2.13787,7.0,2.8,-2.2,85.0,12.761408,0.958,1.2,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
WASP-32 b,WASP-32,Gaia DR3 2546413408888429696,Gaia DR2 2546413408888429696,TIC 427332229,,3.9617073,1.2005122,11.257,10.503,10.161,11.021,,11.409,6140.0,4.4,-0.13,0.72,0.95,,0.19345,2.22,0.62,-0.73,11.6,2.71866,10.76064,2.424,SuperWASP,2010,WASP
WASP-158 b,WASP-158,Gaia DR3 2424621502311961344,Gaia DR2 2424621502311961344,TIC 37718056,,4.1463468,-10.9764226,12.044,11.178,10.881,11.7083,,12.0911,6350.0,4.3,0.24,1.38,1.39,F6 V,0.48338,1.93,0.93,-0.93,,3.656333,11.99363,3.576,SuperWASP-South,2018,WASP
HD 1397 b,HD 1397,Gaia DR3 4707634458245031552,Gaia DR2 4707634458245031552,TIC 394137592,HD 1397,4.4471631,-66.3589285,7.79,6.442,5.988,7.1062,,7.59336,5521.0,3.823,0.29,1.324,2.336,G5 III/IV,0.65992,4.51,0.5,-0.5,,11.53533,11.500434,8.6016,Transiting Exoplanet Survey Satellite (TESS),2018,TESS
TOI-6016 b,TOI-6016,Gaia DR3 428360006379022592,Gaia DR2 428360006379022592,TIC 327369524,,4.5239602,59.7661983,11.886,10.629,10.224,11.3864,,11.9184,6110.0,4.19,0.28,1.31,1.51,F,0.4609,0.3,0.1,-0.1,9.1,4.023687,13.67495645,5.7,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
WASP-26 b,WASP-26,Gaia DR3 2416782701664155008,Gaia DR2 2416782701664155008,TIC 32487566,,4.6030424,-15.2674044,11.297,10.021,9.69,10.5853,,10.9935,6034.0,4.44,0.16,0.86,1.22,G0,0.28725,6.0,2.0,-2.0,,2.7566,13.56289,2.3808565,SuperWASP,2010,WASP
TOI-260 b,TOI-260,Gaia DR3 2428162410789155328,Gaia DR2 2428162410789155328,TIC 37749396,,4.7730178,-9.9661505,9.9,7.376,6.549,8.4991,,9.3124,4026.0,4.45,-0.47,0.616,0.607,K8 V,-1.05899,15.9,2.8,-5.5,31.0,13.475853,1.71,2.37,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
Qatar-4 b,Qatar-4,Gaia DR3 385697172809355392,Gaia DR2 385697172809355392,TIC 440113053,,4.859275,44.0275965,13.574,12.03,11.519,12.8416,,13.4114,5215.0,4.533,0.103,0.896,0.849,K1 V,-0.31785,0.17,0.01,-0.01,6.05,1.8053564,12.722215,2.1384,Qatar,2017,Other
WASP-20 b,WASP-20,Gaia DR3 2359978293137038720,Gaia DR2 2359978293136820864,TIC 211438925,,5.1605621,-23.9357894,10.675,9.701,9.39,10.248,,10.6503,5940.0,4.231,-0.008,1.2,1.242,F9,0.239,7.0,2.0,-1.0,,4.89964477,15.46839337,3.07,SuperWASP,2015,WASP
WASP-1 b,WASP-1,Gaia DR3 2862548428079638912,Gaia DR2 2862548428079638912,TIC 57984377,,5.1669536,31.9899732,11.308,10.586,10.276,11.1355,,11.5349,6110.0,4.207,0.17,1.24,1.47,F7 V,0.44091,3.4,1.2,-0.6,,2.5199454,16.623,3.7121363,SuperWASP,2007,WASP
WASP-45 b,WASP-45,Gaia DR3 2308834780352875904,Gaia DR2 2308834780352875904,TIC 120610833,,5.2377567,-35.998465,11.801,10.753,10.294,11.5005,,12.0487,5150.0,4.503,-0.03,0.85,0.855,K2 V,-0.33555,12.7,1.0,-5.3,,3.126089,10.603714,1.6824,SuperWASP,2011,WASP
HATS-30 b,HATS-30,Gaia DR3 4906145613282734208,Gaia DR2 4906145613282734208,TIC 281459670,,5.618525,-59.9425892,12.283,11.129,10.793,11.6714,,12.0815,5943.0,4.425,0.06,1.093,1.061,G,0.09691,2.3,1.2,-1.2,,3.1743516,13.170575,2.7504,HATSouth,2016,HAT
TOI-5322 b,TOI-5322,Gaia DR3 2780169409154216448,Gaia DR2 2780169409154216448,TIC 336691874,,6.5293373,14.3364283,12.733,11.301,10.9,12.0075,,12.4839,5692.0,4.11,-0.048,0.998,1.462,,0.3075,9.7,2.0,-1.8,,5.4233207,16.6117094,5.111,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
HATS-49 b,HATS-49,Gaia DR3 4919770108539385472,Gaia DR2 4919770108539385472,TIC 281541545,,6.6135927,-56.3442798,14.988,12.692,11.938,13.7813,,14.5449,4405.0,4.6036,0.208,0.7133,0.6977,,-0.78489,10.5,1.4,-2.0,,4.1480467,8.574885,2.346,HATSouth,2020,HAT
HATS-46 b,HATS-46,Gaia DR3 4919771654727611008,Gaia DR2 4919771654727611008,TIC 281541555,,6.7026401,-56.3161021,13.783,12.366,11.965,13.0417,,13.527,5495.0,4.542,-0.06,0.917,0.853,,-0.22988,3.0,3.4,-2.1,,4.7423729,10.121727,2.4336,HATSouth,2018,HAT
Qatar-5 b,Qatar-5,Gaia DR3 382111248777193216,Gaia DR2 382111248777193216,TIC 190998418,,7.0539375,42.0613451,12.614,11.348,10.956,12.0401,,12.5241,5747.0,4.427,0.377,1.128,1.076,G2 V,0.05614,0.53,0.004,-0.004,12.1,2.8792319,12.408363,2.9088,Qatar,2017,Other
TOI-178 f,TOI-178,Gaia DR3 2318295979126499200,Gaia DR2 2318295979126499200,TIC 251848941,,7.3020115,-30.4541159,11.955,9.372,8.656,10.42,,11.1523,4316.0,4.45,-0.23,0.647,0.662,K,-0.86646,6.0,6.8,-5.0,,15.23335,2.417,2.348,Multiple Observatories,2021,Other
TOI-178 c,TOI-178,Gaia DR3 2318295979126499200,Gaia DR2 2318295979126499200,TIC 251848941,,7.3020115,-30.4541159,11.955,9.372,8.656,10.42,,11.1523,4316.0,4.45,-0.23,0.647,0.662,K,-0.86646,6.0,6.8,-5.0,,3.238486,1.754,1.95,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
TOI-178 b,TOI-178,Gaia DR3 2318295979126499200,Gaia DR2 2318295979126499200,TIC 251848941,,7.3020115,-30.4541159,11.955,9.372,8.656,10.42,,11.1523,4316.0,4.45,-0.23,0.647,0.662,K,-0.86646,6.0,6.8,-5.0,,1.9145601,1.2,1.692,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
TOI-178 g,TOI-178,Gaia DR3 2318295979126499200,Gaia DR2 2318295979126499200,TIC 251848941,,7.3020115,-30.4541159,11.955,9.372,8.656,10.42,,11.1523,4316.0,4.45,-0.23,0.647,0.662,K,-0.86646,6.0,6.8,-5.0,,20.71663,2.939,2.167,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
TOI-178 e,TOI-178,Gaia DR3 2318295979126499200,Gaia DR2 2318295979126499200,TIC 251848941,,7.3020115,-30.4541159,11.955,9.372,8.656,10.42,,11.1523,4316.0,4.45,-0.23,0.647,0.662,K,-0.86646,6.0,6.8,-5.0,,9.96318,2.301,2.501,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
TOI-178 d,TOI-178,Gaia DR3 2318295979126499200,Gaia DR2 2318295979126499200,TIC 251848941,,7.3020115,-30.4541159,11.955,9.372,8.656,10.42,,11.1523,4316.0,4.45,-0.23,0.647,0.662,K,-0.86646,6.0,6.8,-5.0,,6.557569,2.695,2.346,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
HD 2685 b,HD 2685,Gaia DR3 4684205720883329920,Gaia DR2 4684205720883329920,TIC 267263253,HD 2685,7.3289156,-76.304032,9.595,8.825,8.595,9.2205,,9.52025,6801.0,4.21,0.02,1.43,1.56,,0.66839,1.31,0.34,-0.47,,4.12688,16.14096,4.405,Transiting Exoplanet Survey Satellite (TESS),2019,TESS
WASP-190 b,WASP-190,Gaia DR3 4994237247949280000,Gaia DR2 4994237247949280000,TIC 116156517,,7.7095292,-40.5734613,11.645,10.859,10.65,11.3151,,11.6333,6400.0,4.17,-0.02,1.35,1.6,F6 IV-V,0.69146,,,,,5.367753,12.89035,4.464,WASP-South,2019,WASP
TOI-6029 b,TOI-6029,Gaia DR3 430269136520563200,Gaia DR2 430269136520563200,TIC 419523962,,8.3862555,61.8607659,12.858,10.788,10.369,11.6593,,12.2681,6223.0,3.886,0.37,1.548,2.338,,0.79934,2.31,0.58,-0.19,,5.7987,14.39233122,5.684,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
HD 3167 b,HD 3167,Gaia DR3 2554032474712538880,Gaia DR2 2554032474712538880,TIC 318707987,HD 3167,8.7401487,4.3807215,8.97,7.548,7.066,8.2491,8.945,8.76221,5261.0,4.53,0.04,0.837,0.88,K0 V,-0.27003,7.8,4.3,-4.3,23.52,0.959641,1.67,1.609,K2,2016,K2
HD 3167 c,HD 3167,Gaia DR3 2554032474712538880,Gaia DR2 2554032474712538880,TIC 318707987,HD 3167,8.7401487,4.3807215,8.97,7.548,7.066,8.2491,8.945,8.76221,5261.0,4.53,0.04,0.837,0.88,K0 V,-0.27003,7.8,4.3,-4.3,23.52,29.8454,3.0,4.869,K2,2016,K2
TOI-2406 b,TOI-2406,Gaia DR3 2528453161326406016,Gaia DR2 2528453161326406016,TIC 212957629,,8.8060544,-3.3720833,,12.633,11.894,14.3109,,15.6955,3100.0,5.041,-0.26,0.166,0.204,M4 V,-2.46218,,,,,3.0766891,2.86,1.2491751,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
WASP-93 b,WASP-93,Gaia DR3 415703635408772480,Gaia DR2 415703635408772480,TIC 240681314,,9.4587443,51.288778,10.966,10.233,9.942,10.6496,,10.978,6700.0,4.197,0.07,1.334,1.524,F4,0.61784,0.7,0.65,-0.65,1.45,2.7325321,17.900773,2.2344,SuperWASP,2016,WASP
HAT-P-19 b,HAT-P-19,Gaia DR3 365426679516816512,Gaia DR2 365426679516816512,TIC 267650535,,9.5165832,34.7114025,12.826,11.095,10.546,11.9475,,12.5567,4962.0,4.5687,0.166,0.807,0.773,K1,-0.48545,7.2,4.0,-4.0,35.5,4.00878322,11.29865255,2.8368,HATNet,2010,HAT
HAT-P-16 b,HAT-P-16,Gaia DR3 381592313648387200,Gaia DR2 381592313648387200,TIC 191284318,,9.5730343,42.4630961,10.911,9.85,9.553001,10.374,,10.7568,6158.0,4.34,0.17,1.218,1.237,F8,0.29447,2.0,0.8,-0.8,,2.77596727,14.68376472,3.0624,HATNet,2010,HAT
K2-149 b,K2-149,Gaia DR3 2557342829345854208,Gaia DR2 2557342829345854208,TIC 429035886,,9.8217519,7.2769939,14.543,11.452,10.561,12.7422,13.787,13.7795,3745.0,4.707,0.11,0.595,0.568,M1.0 V,-1.3098,,,,,11.332,1.64,,K2,2018,K2
TOI-1470 b,TOI-1470,Gaia DR3 427224073427887360,Gaia DR2 427224073427887360,TIC 284441182,,10.0891431,61.2133868,13.459,10.154,9.283,11.4752,,12.5555,3709.0,4.77,0.0,0.471,0.469,M1.5 V,-1.42481,1.3,0.7,-0.7,29.0,2.527093,2.18,1.28,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
TOI-1470 c,TOI-1470,Gaia DR3 427224073427887360,Gaia DR2 427224073427887360,TIC 284441182,,10.0891431,61.2133868,13.459,10.154,9.283,11.4752,,12.5555,3709.0,4.77,0.0,0.471,0.469,M1.5 V,-1.42481,1.3,0.7,-0.7,29.0,18.08816,2.47,2.7,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
