pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,hd_name,ra,dec,sy_vmag,abs_vmag,sy_jmag,abs_jmag,sy_kmag,abs_kmag,sy_tmag,sy_kepmag,sy_gaiamag,abs_gaiamag,st_parallax_mas,st_rv,st_e_rv,st_rv_source,st_teff,st_logg,st_met,st_mass,st_rad,st_spectype,st_lum,st_age,st_ageerr1,st_ageerr2,st_rotp,bj_dist_pc,bj_dist_pc_lo,bj_dist_pc_hi,ruwe,ruwe_quality,gaia_aen,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
HIP 65 A b,HIP 65 A,4.92386E+18,4.92386E+18,201248411,,0.1856063,-54.8308228,11,7.045802491,8.922,4.967802491,8.29,4.335802491,9.9005,,10.5895,6.635302491,16.1641445,21.18428993,0.205289274,Gaia,4590,4.611,0.18,0.781,0.7242,K4 V,-0.67799,4.1,4.3,-2.8,13.2,61.77880478,61.74705887,61.81645584,0.906189799,LO,0.04390173,0.9809734,22.75427,0.78576,Transiting Exoplanet Survey Satellite (TESS),2020,TESS
WASP-136 b,WASP-136,2.44101E+18,2.44101E+18,176220787,,0.325761,-8.9262512,9.974,2.845900635,9.016,1.887900635,8.805,1.676900635,9.4834,,9.81929,2.691190635,3.722455786,11.21512794,0.23190257,Gaia,6250,3.9,-0.18,1.41,2.39014,F,0.82265,,,,5.4,266.4525452,264.5854187,268.2038879,1.094975114,LO,0.104863755,5.215361788,16.81347105,5.5895721,SuperWASP,2016,WASP
KELT-1 b,KELT-1,2.88178E+18,2.88178E+18,432549364,,0.3620995,39.3837953,10.632,3.476217663,9.682,2.526217663,9.437,2.281217663,10.2242,,10.5905,3.434717663,3.683636389,-14.20667267,0.774223506,Gaia,6516,4.228,0.052,1.335,1.471,,0.545,,,,,269.8711548,268.8409424,270.9493408,0.907860518,LO,0.067176998,1.217514,12.442,2.76456,KELT,2012,KELT
HATS-34 b,HATS-34,4.90452E+18,4.90452E+18,355703913,,0.7744866,-62.4693167,13.857,5.341450712,12.513,3.997450712,12.095,3.579450712,13.183,,13.679,5.163450712,1.943921549,19.81319046,2.372914314,Gaia,5380,4.435,0.25,0.955,0.98,,-0.14026,7.7,2.7,-2.7,,504.7889709,502.0749207,507.4641418,1.035520196,LO,0,2.1061607,16.02887,1.5552,HATSouth,2016,HAT
WASP-96 b,WASP-96,4.99004E+18,4.99004E+18,160148385,,1.0465696,-47.3606352,12.569,4.865534357,11.267,3.563534357,10.914,3.210534357,11.9116,,12.3833,4.679834357,2.858990049,-1.097559452,0.49767372,Gaia,5540,4.42,0.14,1.06,1.05,G8,0.03226,8,26,-8,20.16,347.2906799,345.4013977,349.274231,1.15458858,LO,0.082870513,3.4252602,13.45,2.4264,SuperWASP,2014,WASP
TOI-198 b,TOI-198,2.33368E+18,2.33368E+18,12421862,,2.2715087,-27.1217452,11.688,9.808431567,8.655,6.775431567,7.856,5.976431567,9.92801,,10.9187,9.039131567,42.05915434,19.7009964,0.179072067,Gaia,3650,4.75,-0.7,0.467,0.441,M0 V,-1.43315,5.3,1,-1,45.4,23.7636795,23.74817848,23.77864456,1.085656404,LO,0.215557262,10.2152,1.44,1.631,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
WASP-44 b,WASP-44,2.42441E+18,2.42441E+18,12862099,,3.9032733,-11.9382645,13.096,5.323880112,11.702,3.929880112,11.341,3.568880112,12.3993,,12.8964,5.124280112,2.764407014,-3.095204592,1.321807146,Gaia,5420,4.494,-0.003,0.935,0.906,G8 V,-0.19777,,,,,358.4461975,355.8441772,360.4274292,0.955621004,LO,0.082565248,2.423804,12.3299,2.2368,SuperWASP,2011,WASP
Gliese 12 b,Gliese 12,2.76805E+18,2.76805E+18,52005579,,3.9579137,13.5576175,12.6,12.17504147,8.619,8.194041466,7.807,7.382041466,10.1769,,11.3963,10.97134147,82.19379738,51.04111099,0.255551219,Gaia,3296,5.21,-0.32,0.2414,0.2617,M3.0 V,-2.13787,7,2.8,-2.2,85,12.16162777,12.15627575,12.16670418,1.197814941,LO,0.206589609,12.761408,0.958,1.2,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
WASP-32 b,WASP-32,2.54641E+18,2.54641E+18,427332229,,3.9617073,1.2005122,11.257,4.05027556,10.503,3.29627556,10.161,2.95427556,11.021,,11.409,4.20227556,3.570563157,18.27012634,0.317001849,Gaia,6140,4.4,-0.13,0.72,0.95,,0.19345,,,,11.6,276.2770996,273.1214294,279.4118042,1.732632279,HI,0.25281179,2.71866,10.76064,2.424,SuperWASP,2010,WASP
WASP-158 b,WASP-158,2.42462E+18,2.42462E+18,37718056,,4.1463468,-10.9764226,12.044,3.420780929,11.178,2.554780929,10.881,2.257780929,11.7083,,12.0911,3.467880929,1.85097245,24.67984581,1.024357796,Gaia,6350,4.3,0.24,1.38,1.39,F6 V,0.48338,1.93,0.93,-0.93,,530.4492188,523.7268066,536.9046631,1.748384118,HI,0.159955218,3.656333,11.99363,3.576,SuperWASP-South,2018,WASP
